Timestamp	What is your gender?	What year of university are you in?	What course are you doing? (best fit)	What country are you from?	If Ireland or Northern Ireland, what county?	How far is your commute to UCD?	What sports clubs are you interested in joining?	What Societies are you joining/interested in joining?
14/09/2024 13:58:57	Male	4th	Business	Ireland	Wicklow	Less than 15 minutes	Soccer	Data Society, Economics Society, History Society, Law Society, Mathematical Society
15/09/2024 15:14:31	Male	Masters Student	Science, Computer Science & Actuarial Science	Ireland	Limerick	30 minutes - 1 hour	Volleyball	Dance Society, Data Society, Dramsoc, French Society, Games Society, LGBTQ+ Society, Mathematical Society, Musical Society, Politics and International Relations Society, Science Society, Scientific (Physics) Society
15/09/2024 15:19:29	Male	4th	Science, Computer Science & Actuarial Science	Ireland	Dublin	15-30 minutes	Gaelic Football, Golf, Rugby, Snowsports, Soccer, Surf	Data Society, International Students Society, Kevin Barry Cumann, Labour Society, Newman Society, Psychology Society
15/09/2024 15:21:21	Female	1st	Social Sciences	India	Dublin	Less than 15 minutes	None	Belfield FM Society, Data Society, Dramsoc, English & Literary Society, Erasmus Society, Film Society, Games Society, Horticulture Society, Indian Society, International Students Society, Investors & Entrepreneurs Society, Philosophy Society, Psychology Society, TV Society, Women+ in STEM Society, Volunteers Overseas Student Society
15/09/2024 15:24:07	Male	4th	Science, Computer Science & Actuarial Science	Ireland	Kildare	15-30 minutes	Badminton, Basketball, Cycling, Golf, Mountaineering, Rugby, Snowsports, Soccer, Sub Aqua, Surf, Table Tennis, Ultimate Frisbee, Windsurfing	Actuarial & Financial Society, Commerce & Economics Society, Data Society, DJ Society, History Society, Internet Society, Investors & Entrepreneurs Society, Mathematical Society, St Vincent de Paul Society
15/09/2024 15:33:34	Female	3rd	Arts & Humanities	United States	Dublin	15-30 minutes	Equestrian, Volleyball	DJ Society, Dramsoc, Draw Society, Film Society, International Students Society, Nordic Society
15/09/2024 15:33:59	Male	Masters Student	Science, Computer Science & Actuarial Science	India	Dublin	Less than 15 minutes	Badminton, Basketball, Boat, Canoe, Cycling, Fencing	Belfield FM Society, Data Society, Dramsoc, Games Society, Indian Society, International Students Society, Mature Students Society, Music Society, Musical Society
15/09/2024 15:54:36	Male	1st	Sustainability	United States		Less than 15 minutes	Mountaineering	Geography Society, International Students Society, LGBTQ+ Society, Sustainability Society
15/09/2024 16:18:17	Male	Masters Student	Science, Computer Science & Actuarial Science	India	Dublin	Less than 15 minutes	American Football, Badminton, Cricket, Golf, Rugby	Data Society, Indian Society, Science Society
15/09/2024 16:20:16	Female	4th	Science, Computer Science & Actuarial Science	Ireland	Wexford	Less than 15 minutes	Gaelic Football, Snowsports	Data Society, Food Society, Science Society, Women+ in STEM Society
15/09/2024 16:20:26	Male	Masters Student	Science, Computer Science & Actuarial Science	India	Dublin	Less than 15 minutes	American Football, Badminton, Cricket, Golf, Rugby	Data Society, Indian Society, Science Society
15/09/2024 16:23:32	Male	2nd	Business	Ireland	Dublin	30 minutes - 1 hour	Boat, Canoe	Commerce & Economics Society, Cumann Gaelach, Data Society, Economics Society, Investors & Entrepreneurs Society, Mathematical Society, Music Society, Traditional Music Society
15/09/2024 16:29:10	Female	3rd	Science, Computer Science & Actuarial Science	Egypt		15-30 minutes	Tennis, Volleyball	Horticulture Society, Islamic Society, Nutrition Society
15/09/2024 16:31:24	Female	4th	Science, Computer Science & Actuarial Science	India		2 hours +	None	Data Society, Draw Society, Indian Society, Mathematical Society, Science Society, Science Fiction & Fantasy Society, Women+ in STEM Society
15/09/2024 16:40:02	Male	Masters Student	Science, Computer Science & Actuarial Science	India		15-30 minutes	Badminton, Cricket, Soccer, Table Tennis	Data Society, English & Literary Society, Film Society, Food Society, International Students Society, Investors & Entrepreneurs Society, Islamic Society, Science Society
15/09/2024 16:57:27	Female	2nd	Health Sciences	United States		15-30 minutes	Tennis	Biological Society, Data Society, Medical Society, Microbiology Society, One Health Society, PhD Students Society, Science Society, Volunteers Overseas Student Society
15/09/2024 17:17:01	Male	4th	Science, Computer Science & Actuarial Science	Ireland	Dublin	30 minutes - 1 hour	Mountaineering	Cumann Gaelach, Data Society, Games Society, German Society, Mathematical Society, Science Fiction & Fantasy Society
15/09/2024 18:14:03	Female	4th	Social Sciences	Ireland	Wicklow	1-2 hours	Trampoline	Film Society
15/09/2024 19:21:43	Male	2nd	Science, Computer Science & Actuarial Science	India		2 hours +	None	Actuarial & Financial Society, Data Society, Engineering Society, Philosophy Society, Young Greens Society, Volunteers Overseas Student Society
15/09/2024 20:30:13	Female	Masters Student	Science, Computer Science & Actuarial Science	Taiwan		30 minutes - 1 hour	Badminton, Cycling	Data Society, International Students Society, Women+ in STEM Society
15/09/2024 20:35:19	Male	2nd	Science, Computer Science & Actuarial Science	Ireland	Wexford	1-2 hours	Mountaineering, Snowsports, Trampoline	Chess Society, Data Society, Elec Engineering Society, Internet Society, Mathematical Society
15/09/2024 21:06:46	Female	3rd	Arts & Humanities	Ireland	Kerry	Less than 15 minutes	Caving & Potholing, Judo, Mountaineering, Orienteering, Target Shooting	Arts Society, Chess Society, Data Society, Draw Society, English & Literary Society, Food Society, History Society, Japanese Society, Philosophy Society, Politics and International Relations Society
15/09/2024 21:12:51	Female	Masters Student	Science, Computer Science & Actuarial Science	India	Dublin	15-30 minutes	Badminton	Dance Society, Data Society, Games Society, Indian Society, International Students Society, Mathematical Society, Planning & Environmental Policy Society, Science Society, Science Fiction & Fantasy Society, Young Greens Society, Volunteers Overseas Student Society
15/09/2024 23:17:37	Female	Masters Student	Science, Computer Science & Actuarial Science	India	Dublin	15-30 minutes	Mountaineering	Arts Society, Data Society, Draw Society, German Society, International Students Society, Women+ in STEM Society
16/09/2024 00:27:32	Male	Masters Student	Science, Computer Science & Actuarial Science	India	Galway	1-2 hours	Cricket	Data Society, Film Society, Food Society, Indian Society, International Students Society, Music Society
16/09/2024 00:27:56	Male	Masters Student	Science, Computer Science & Actuarial Science	Iran	Dublin	1-2 hours	Athletics, Badminton, Boat, Cricket, Tennis	Data Society, Film Society, Games Society, Indian Society, Internet Society, Music Society
16/09/2024 01:04:02	Male	Masters Student	Science, Computer Science & Actuarial Science	India		1-2 hours	Caving & Potholing, Cricket, Cycling, Mountaineering, Orienteering, Surf, Swimming, Trampoline, Volleyball	Film Society, Food Society, Games Society, Indian Society, International Students Society, Investors & Entrepreneurs Society, Volunteers Overseas Student Society
16/09/2024 02:27:58	Male	Masters Student	Science, Computer Science & Actuarial Science	India	Dublin	30 minutes - 1 hour	Badminton, Table Tennis	Data Society, Engineering Society, Erasmus Society, Food Society, Harry Potter Society, Indian Society
16/09/2024 11:00:41	Male	Masters Student	Science, Computer Science & Actuarial Science	India		15-30 minutes	Badminton, Cycling, Tennis, Volleyball	Arts Society, Dance Society, Data Society, DJ Society, Film Society, Food Society, Games Society, Indian Society, International Students Society, Internet Society, Investors & Entrepreneurs Society, Music Society, Musical Society, Traditional Music Society, TV Society, Volunteers Overseas Student Society
16/09/2024 11:00:42	Male	Masters Student	Science, Computer Science & Actuarial Science	India		15-30 minutes	Badminton, Cycling, Mountaineering, Swimming, Table Tennis, Tennis	Dance Society, Data Society, Draw Society, Engineering Society, Film Society, Food Society, Games Society, Indian Society, International Students Society, Internet Society, Investors & Entrepreneurs Society, Japanese Society, Traditional Music Society, TV Society, Volunteers Overseas Student Society
16/09/2024 11:05:51	Male	Masters Student	Science, Computer Science & Actuarial Science	Ireland	Dublin	Less than 15 minutes	Rugby, Soccer, Surf	Data Society, Internet Society
16/09/2024 11:13:38	Male	Masters Student	Science, Computer Science & Actuarial Science	India	Dublin	15-30 minutes	Boxing, Mountaineering	Data Society, Indian Society
16/09/2024 11:29:14	Male	Masters Student	Science, Computer Science & Actuarial Science	India		1-2 hours	Cricket	None
16/09/2024 11:32:41	Male	Masters Student	Engineering	India	Dublin	30 minutes - 1 hour	Boxing, Cycling, Soccer	Data Society, Erasmus Society, Games Society, Science Fiction & Fantasy Society, TV Society
16/09/2024 11:45:26	Male	Masters Student	Science, Computer Science & Actuarial Science	India		Less than 15 minutes	Swimming	Data Society, Food Society
16/09/2024 12:01:13	Male	Masters Student	Health Sciences	India		30 minutes - 1 hour	Cricket, Swimming	Data Society, Engineering Society, Games Society, Indian Society, Medical Society
16/09/2024 12:02:44	Male	Masters Student	Science, Computer Science & Actuarial Science	India		30 minutes - 1 hour	Badminton	Data Society, Indian Society, Internet Society
16/09/2024 13:37:38	Male	Masters Student	Science, Computer Science & Actuarial Science	India	Dublin	Less than 15 minutes	Boxing, Mountaineering	Chess Society, Data Society, Erasmus Society, Indian Society, Mathematical Society, Science Fiction & Fantasy Society
16/09/2024 14:08:11	Male	Masters Student	Science, Computer Science & Actuarial Science	Taiwan	Dublin	Less than 15 minutes	None	Data Society
16/09/2024 14:41:12	Male	Masters Student	Science, Computer Science & Actuarial Science	India	Dublin	15-30 minutes	Boxing, Cricket, Surf, Swimming	Chess Society, Data Society, Indian Society, International Students Society
16/09/2024 15:19:17	Male	Masters Student	Science, Computer Science & Actuarial Science	India	Dublin	Less than 15 minutes	Badminton, Basketball, Boxing	Arts Society, Belfield FM Society, Dance Society, Data Society, Dramsoc, Film Society, Food Society, Indian Society, International Students Society, Internet Society, Italian Society, Malaysian Society, Music Society, Spanish Society, Volunteers Overseas Student Society
16/09/2024 15:46:36	Male	1st	Social Sciences	Italy	Dublin	30 minutes - 1 hour	Basketball, Rugby	Data Society, Geography Society, Investors & Entrepreneurs Society, Italian Society
16/09/2024 16:42:29	Male	3rd	Science, Computer Science & Actuarial Science	India		15-30 minutes	Badminton, Basketball, Swimming	Chess Society, Data Society, Eastern European Society, Elec Engineering Society, Engineering Society, Erasmus Society, Film Society, Food Society, French Society, Games Society, German Society, International Students Society, Internet Society, Nordic Society, Science Society
17/09/2024 11:06:33	Prefer not to say	4th	Health Sciences	Ireland	Dublin	30 minutes - 1 hour	Swimming	French Society
17/09/2024 11:07:17	Male	1st	Science, Computer Science & Actuarial Science	Ireland	Dublin	1-2 hours	Boxing, Gaelic Football	Chess Society, Games Society, Internet Society
17/09/2024 12:20:00	Male	1st	Engineering	Ireland	Galway	Less than 15 minutes	Archery, Badminton, Boxing, Caving & Potholing, Cycling, Fencing, Mountaineering, Orienteering, Snowsports, Surf, Taekwon-Do, Target Shooting, Trampoline, Volleyball, Windsurfing	Actuarial & Financial Society, Chess Society, Commerce & Economics Society, Data Society, Elec Engineering Society, Engineering Society, Film Society, Food Society, Games Society, Internet Society, Investors & Entrepreneurs Society, Kevin Barry Cumann, Literary & Historical Society, Mathematical Society, Mechanical Engineering Society, Newman Society, Philosophy Society, Scientific (Physics) Society, Young Fine Gael Society, Volunteers Overseas Student Society
17/09/2024 17:38:31	Female	1st	Science, Computer Science & Actuarial Science	Russia		30 minutes - 1 hour	Archery, Boxing, Fencing, Target Shooting, None	Classical Society, Dance Society, Data Society, Eastern European Society, Elec Engineering Society, Engineering Society, Erasmus Society, Games Society, German Society, International Students Society, Internet Society, LGBTQ+ Society, Mechanical Engineering Society, Science Fiction & Fantasy Society, Spanish Society, Women+ in STEM Society
17/09/2024 21:53:07	Female	2nd	Social Sciences	Ireland	Kildare	Less than 15 minutes	None	Cumann Gaelach, Data Society, Economics Society, Film Society, Food Society, Geography Society, Mathematical Society
17/09/2024 22:20:48	Male	Masters Student	Science, Computer Science & Actuarial Science	India		1-2 hours	Golf	Actuarial & Financial Society, Data Society, Indian Society
18/09/2024 12:37:00	Female	2nd	Science, Computer Science & Actuarial Science	United States		Less than 15 minutes	Lacrosse	Music Society
18/09/2024 12:38:22	Male	2nd	Arts & Humanities	United States		15-30 minutes	None	None
18/09/2024 13:51:27	Male	Masters Student	Science, Computer Science & Actuarial Science	Ireland	Dublin	Less than 15 minutes	Athletics, Cycling, Swimming	Data Society, Eastern European Society, Elec Engineering Society, Food Society, Games Society
18/09/2024 14:17:26	Male	4th	Science, Computer Science & Actuarial Science	Austria		Less than 15 minutes	Cycling, Soccer	Civil & Structural Engineering Society, Data Society, German Society
18/09/2024 15:57:20	Male	Masters Student	Science, Computer Science & Actuarial Science	Ukraine		1-2 hours	Mountaineering	Chess Society, Data Society, Science Society, Scientific (Physics) Society
18/09/2024 16:05:43	Male	4th	Science, Computer Science & Actuarial Science	Ireland	Wicklow	1-2 hours	American Football, Rugby	Mathematical Society
18/09/2024 16:09:25	Male	4th	Science, Computer Science & Actuarial Science	Ireland	Wexford	Less than 15 minutes	Handball, Soccer	Investors & Entrepreneurs Society, Mathematical Society